WKT,identificatie,rdf_seealso,bouwjaar,status,gebruiksdoel,oppervlakte_min,oppervlakte_max,aantal_verblijfsobjecten,fuuid
"POLYGON ((73675.51 412324.522,73676.129 412322.033,73679.855 412322.959,73680.324 412321.072,73686.109 412322.51,73684.333 412329.657,73680.898 412328.803,73680.645 412329.818,73681.228 412329.963,73680.828 412331.573,73674.396 412329.975,73674.282 412329.947,73675.624 412324.55,73675.51 412324.522))","0580100000241573",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000241573,"1978",Pand in gebruik,woonfunctie,"147","147","1",pand.3da6c359-8224-433a-9aee-810cfe25385e
"POLYGON ((73657.927 411786.177,73666.818 411780.792,73670.411 411786.262,73669.168 411787.106,73670.777 411789.732,73669.949 411790.326,73671.886 411793.452,73671.222 411793.952,73665.287 411797.773,73665.095 411797.485,73657.927 411786.177))","0580100000241574",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000241574,"1900",Pand in gebruik,woonfunctie,"265","265","1",pand.859ffba2-c20b-4553-ae2d-2fdf8c076fb3
"POLYGON ((73667.958 412187.083,73669.739 412189.049,73666.841 412191.674,73665.06 412189.708,73667.958 412187.083))","0580100000241575",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000241575,"1954",Pand in gebruik,,,,"0",pand.fd48adec-a596-4c60-baf9-c0238a1951fc
"POLYGON ((73669.14 412183.998,73667.077 412181.698,73670.069 412179.013,73672.133 412181.313,73669.14 412183.998))","0580100000241576",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000241576,"1954",Pand in gebruik,,,,"0",pand.ab194092-fcdf-4e5a-b30d-4a91921cccdb
"POLYGON ((73669.739 412189.049,73667.958 412187.083,73670.999 412184.33,73672.779 412186.296,73669.739 412189.049))","0580100000241577",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000241577,"1954",Pand in gebruik,,,,"0",pand.93231dad-58fc-4ffb-a810-92af7478d9d4
"POLYGON ((73667.077 412181.698,73669.14 412183.998,73666.369 412186.484,73664.306 412184.184,73667.077 412181.698))","0580100000241578",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000241578,"1954",Pand in gebruik,,,,"0",pand.c0e02eaf-4fee-4f4e-a903-93c9ef974427
"POLYGON ((73660.78 412090.656,73666.502 412088.771,73668.598 412095.134,73662.876 412097.019,73660.78 412090.656))","0580100000241579",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000241579,"1954",Pand in gebruik,woonfunctie,"74","74","1",pand.8a37d42e-3331-4825-ad37-f9135b715db3
"POLYGON ((73184.641 412028.411,73185.13 412034.073,73176.13 412034.286,73175.71 412028.755,73184.641 412028.411))","0580100000241161",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000241161,"1967",Pand in gebruik,overige gebruiksfunctie,"50","50","1",pand.8049d567-9d7e-4b0c-82fa-72b10edcbe93
"POLYGON ((73866.705 412173.83,73867.323 412175.246,73861.567 412177.757,73860.947 412176.336,73866.705 412173.83))","0580100000239964",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000239964,"1956",Pand in gebruik,,,,"0",pand.cb5f8f0b-8476-43a1-a474-ac130253616e
"POLYGON ((73287.645 411739.112,73287.829 411739.431,73288.167 411740.018,73280.602 411744.378,73278.299 411745.705,73277.923 411745.053,73287.645 411739.112))","0580100000239965",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000239965,"1929",Pand in gebruik,,,,"0",pand.a789bad9-6a92-4a80-9349-f5585c70dbc2
