WKT,identificatie,rdf_seealso,bouwjaar,status,gebruiksdoel,oppervlakte_min,oppervlakte_max,aantal_verblijfsobjecten,fuuid
"POLYGON ((4.20629523151077 51.692371820331,4.20617154368634 51.6924174343679,4.20592946736764 51.69216390354,4.20605315473881 51.6921182897562,4.20629523151077 51.692371820331))","0580100000244551",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000244551,"1985",Pand in gebruik,woonfunctie,"45","48","12",pand.a9d3dccc-9256-4cdd-bffd-73a180041a45
"POLYGON ((4.20635744132283 51.6903272176219,4.20649302202966 51.6903045022382,4.20647605099073 51.6902653624729,4.20658482906089 51.6902471410923,4.20662242795931 51.690333835489,4.20651783355744 51.6903513529712,4.20653477785574 51.6903904115562,4.2064928820593 51.6903974233378,4.20649664729902 51.6904061090157,4.20644079094881 51.6904154610804,4.20643702548451 51.6904067843877,4.20639514388315 51.6904138052669,4.20635744132283 51.6903272176219))","0580100000244552",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000244552,"2001",Pand in gebruik,woonfunctie,"262","262","1",pand.a2811d58-5ed7-4b00-8794-dcd5e49b9778
"POLYGON ((4.2077934885679 51.6911290440821,4.20764848075436 51.6911587765778,4.20764653680371 51.6911551163285,4.20760432284353 51.69116377035,4.20757153856959 51.6911020071967,4.20761375247822 51.6910933531868,4.20761040228021 51.6910870449054,4.20775540988806 51.6910573124559,4.2077934885679 51.6911290440821))","0580100000244553",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000244553,"1972",Pand in gebruik,woonfunctie,"77","77","1",pand.ac88e32d-0d88-4939-bd34-0e0645fe91d1
"POLYGON ((4.21338001560833 51.6940641285711,4.21331763616455 51.6940978694489,4.21324829110395 51.6940488748837,4.21331962020235 51.6940180733528,4.21338001560833 51.6940641285711))","0580100000245515",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000245515,"1935",Pand in gebruik,,,,"0",pand.9e01b6c6-add4-4b41-be0f-48c9b168abaf
"POLYGON ((4.21309083254991 51.6936084838467,4.21318617603271 51.6937163044118,4.21312708516311 51.6937364863318,4.21308551911272 51.6936894781017,4.21307100278651 51.6936942587105,4.21304773010976 51.6936669226592,4.21306091836763 51.6936625961827,4.21303146959321 51.6936280067715,4.21309074508548 51.6936085099378,4.21309083254991 51.6936084838467))","0580100000244137",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000244137,"1938",Pand in gebruik,woonfunctie,"85","85","1",pand.7e47d531-a998-4eb6-b9ab-3075eaf52b9b
"POLYGON ((4.20892522140735 51.6926432771065,4.20899248496216 51.6926081044544,4.20911407826148 51.6926972520347,4.20908134843553 51.692714362051,4.20903796622745 51.6926823012682,4.20900503112838 51.69269951707,4.20892522140735 51.6926432771065))","0580100000244138",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000244138,"1980",Pand in gebruik,woonfunctie,"96","96","1",pand.af2cdedb-4379-48ac-914f-def990ead942
"POLYGON ((4.20886061207864 51.6926770561152,4.20892522140735 51.6926432771065,4.20900503112838 51.69269951707,4.20897209577018 51.6927167418494,4.209016145201 51.6927492858019,4.20898345915003 51.692766378253,4.20886061207864 51.6926770561152))","0580100000244139",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000244139,"1980",Pand in gebruik,woonfunctie,"96","96","1",pand.5e9c4c3c-23e1-4784-a585-55c004d25dd1
"POLYGON ((4.21394411969776 51.6922412407308,4.21404533758903 51.6922139833316,4.21407858584297 51.6922632451311,4.21397688086138 51.6922897605575,4.21394411969776 51.6922412407308))","0580100000244140",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000244140,"1957",Pand in gebruik,woonfunctie,"97","97","1",pand.6c182495-90b7-4d4e-8b24-957c6b50354d
"POLYGON ((4.2116155190706 51.6905296358005,4.21170923014065 51.6905017387527,4.21173164487625 51.6905308283878,4.21163849461659 51.6905599626177,4.2116155190706 51.6905296358005))","0580100000245517",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000245517,"1860",Pand in gebruik,,,,"0",pand.64cb7574-3d6e-43f9-a28d-8dea20f538b5
"POLYGON ((4.20848209168029 51.6931557571176,4.20855941071522 51.693212673478,4.20851752784286 51.6932346443333,4.20853101043248 51.6932445693767,4.20850364564727 51.693258928565,4.20847883774641 51.6932406643212,4.20844946397132 51.693256073005,4.20838551420565 51.6932089905986,4.20841488797168 51.6931935819308,4.20841285851088 51.693192087258,4.20842376920156 51.6931863630139,4.20848209168029 51.6931557571176))","0580100000241888",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000241888,"1980",Pand in gebruik,woonfunctie,"104","104","1",pand.498c9337-744f-42e4-8fcc-e300ee83daa6
